URN,CustomerName,Acronym,Address1,Address2,Address3,Town,County,Country,PostCode,Sector,Subsector,Active
10581378,North East Wales Search and Rescue Team,,Po Box 37,Mold,Flintshire,Mold,Flintshire,Wales,CH7 1ZS,Wider Public Sector,Charity,True
10581370,Cognus Limited,,,,,,,,XXXX,Wider Public Sector,TBA,True
10581369,Cognus Ltd,,24 Denmark Road,Carshalton,,Carshalton,,England,SM5 2JG,Wider Public Sector,TBA,True
10581368,Follow Your Dreams,,,,,,,,XXXX,Wider Public Sector,Charity,True
10581363,K2 Healthcare Ltd.,,47 Boston Road,Sleaford,,Sleaford,,,NG31 7HD,Wider Public Sector,Other,True
10581361,Magor Baptist Church,,"The Square Magor Caldicot, Sir Fynwy",,Gwent,,Gwent,Wales,NP26 3HY,Wider Public Sector,Charity,True
10581349,Heacham Parish Council,,Jubilee Clinic Pound Lane Heacham,King's Lynn,Norfolk,King's Lynn,Norfolk,England,PE31 7ET,Wider Public Sector,Parish Council,True
10581328,Active Devon,,"The Loft, Haven Banks OEC Haven Road",Exeter,Devon,Exeter,Devon,England,EX2 8DP,Wider Public Sector,Charity,True
10581321,St Andrew's CE High School for Boys,,Sackville Road  Worthing  West Sussex,,,,,,BN14 8BG,Wider Public Sector,Education,True
10581318,Social Work England,,125 Norfolk Street,Sheffield,South Yorkshire,Sheffield,South Yorkshire,England,S1 2FJ,Central Government,NDPB,True
10013988,National Assessment Agency,,Qualification & Curriculum Authority,83 Piccadilly,,London,,England                       ,W1J 8QA,Central Government,NDPB,False
10013913,North East Chamber of Commerce,,Aykley Heads Business Centre,Aykely Heads,,Durham,County Durham                 ,England                       ,DH1 5TS,Wider Public Sector,,False
10013725,Mid Kent Water PLC,,Rocfort Road,,,Snodland,Kent                          ,England                       ,ME6 5AH,Wider Public Sector,Water,False
10013510,Newport and Gwent Chamber of Commerce Enterprise and Industry,,Enterprise Way,,,Newport,Gwent                         ,Wales                         ,NP20 2AQ,Wider Public Sector,,False
10013359,Birmingham Primary Care Trust Shared Service Agency,BPCSSA,"Eastern Birmingham P C T, Waterlinks House",Richard Street,,Birmingham,West Midlands                 ,England                       ,B7 4AA,Wider Public Sector,Support,False
10013207,Highland Reserve Forces and Cadets Association,,"Highland Reserve Forces & Cadets Association, 365",Perth Road,,Dundee,Angus                         ,Scotland                      ,DD2 1LX,Central Government,,False
10013011,Royal Signals,,"6, Oxford Court",St. James Road,,Brackley,Northamptonshire              ,England                       ,NN13 7XY,Central Government,,False
10012486,Rothesay Tax Office,,Main Office,,, ,,Scotland                      ,OO,Wider Public Sector,Private Sector Enabler,False
